hostname,record_type,resolved_ip,ttl_remaining_sec,authoritative_server
srv-node-616.apexledger.example,A,10.8.199.115,1800,1.1.1.1
portal-web-899.apexledger.example,A,10.7.22.207,1800,10.0.0.1
stream-ws-149.apexledger.example,A,10.5.105.39,300,1.0.0.1
auth-node-087.apexledger.example,A,10.15.168.139,600,10.0.0.1
stream-ws-242.apexledger.example,A,10.1.56.55,1800,1.0.0.1
internal-svc-355.apexledger.example,A,10.6.30.9,86400,1.1.1.1
stream-ws-394.apexledger.example,A,10.12.170.210,300,10.0.0.1
metrics-agent-708.apexledger.example,A,10.1.91.124,300,1.1.1.1
internal-svc-220.apexledger.example,A,10.6.249.199,3600,10.0.0.1
api-gw-682.apexledger.example,A,10.10.143.16,300,1.0.0.1
metrics-agent-178.apexledger.example,A,10.2.34.245,7200,1.1.1.1
worker-job-654.apexledger.example,A,10.6.114.81,1800,10.0.0.1
auth-node-746.apexledger.example,A,10.3.126.154,86400,1.0.0.1
kafka-broker-197.apexledger.example,A,10.10.138.72,1800,1.0.0.1
auth-node-458.apexledger.example,A,10.14.10.120,300,10.0.0.1
kafka-broker-963.apexledger.example,A,10.1.109.156,600,1.1.1.1
metrics-agent-550.apexledger.example,A,10.7.175.59,7200,1.0.0.1
service-345.apexledger.example,A,10.11.57.200,86400,1.1.1.1
auth-node-831.apexledger.example,A,10.8.115.129,7200,1.0.0.1
billing-srv-915.apexledger.example,A,10.15.61.86,7200,1.0.0.1
api-gw-564.apexledger.example,A,10.13.156.234,300,1.0.0.1
db-shard-722.apexledger.example,A,10.10.152.174,86400,1.0.0.1
api-gw-012.apexledger.example,A,10.15.217.106,7200,1.0.0.1
billing-srv-044.apexledger.example,A,10.13.67.250,3600,10.0.0.1
srv-app-037.apexledger.example,A,10.13.206.54,300,1.1.1.1
vault-sec-301.apexledger.example,A,10.6.181.170,1800,1.0.0.1
billing-srv-437.apexledger.example,A,10.15.84.196,3600,10.0.0.1
srv-db-929.apexledger.example,A,10.15.29.61,3600,1.0.0.1
srv-db-190.apexledger.example,A,10.7.102.150,86400,1.1.1.1
service-398.apexledger.example,A,10.8.119.24,600,1.1.1.1
vault-sec-559.apexledger.example,A,10.15.15.65,86400,10.0.0.1
vault-sec-626.apexledger.example,A,10.15.9.149,600,1.0.0.1
kafka-broker-611.apexledger.example,A,10.13.134.29,7200,10.0.0.1
worker-job-634.apexledger.example,A,10.7.41.183,300,1.0.0.1
stream-ws-310.apexledger.example,A,10.5.184.13,3600,1.1.1.1
metrics-agent-982.apexledger.example,A,10.11.81.236,300,10.0.0.1
cache-redis-081.apexledger.example,A,10.0.28.65,86400,1.0.0.1
metrics-agent-554.apexledger.example,A,10.14.44.12,7200,1.1.1.1
stream-ws-458.apexledger.example,A,10.12.38.5,300,1.0.0.1
service-014.apexledger.example,A,10.2.127.60,600,1.1.1.1
billing-srv-446.apexledger.example,A,10.6.98.135,600,1.0.0.1
service-041.apexledger.example,A,10.2.5.217,300,10.0.0.1
api-gw-981.apexledger.example,A,10.2.124.173,1800,10.0.0.1
service-283.apexledger.example,A,10.10.126.72,86400,1.1.1.1
cache-redis-835.apexledger.example,A,10.1.133.13,300,1.0.0.1
kafka-broker-192.apexledger.example,A,10.6.207.233,1800,1.1.1.1
cache-redis-464.apexledger.example,A,10.15.203.236,3600,10.0.0.1
db-shard-310.apexledger.example,A,10.2.84.238,86400,1.0.0.1
service-136.apexledger.example,A,10.13.74.122,3600,1.1.1.1
srv-db-901.apexledger.example,A,10.0.155.240,600,1.0.0.1
service-722.apexledger.example,A,10.15.2.180,1800,1.0.0.1
vault-sec-183.apexledger.example,A,10.3.27.67,1800,10.0.0.1
kafka-broker-894.apexledger.example,A,10.4.140.215,86400,10.0.0.1
srv-db-535.apexledger.example,A,10.7.54.110,1800,1.1.1.1
kafka-broker-001.apexledger.example,A,10.3.56.88,3600,1.0.0.1
kafka-broker-796.apexledger.example,A,10.0.239.106,86400,1.0.0.1
portal-web-523.apexledger.example,A,10.12.56.87,86400,1.1.1.1
stream-ws-083.apexledger.example,A,10.15.153.107,1800,10.0.0.1
vault-sec-623.apexledger.example,A,10.2.182.225,7200,1.1.1.1
billing-srv-732.apexledger.example,A,10.15.129.103,86400,1.0.0.1
cache-redis-283.apexledger.example,A,10.4.104.206,7200,1.0.0.1
auth-node-337.apexledger.example,A,10.2.246.32,600,1.0.0.1
cache-redis-063.apexledger.example,A,10.1.203.105,7200,1.1.1.1
internal-svc-693.apexledger.example,A,10.1.23.30,86400,1.0.0.1
stream-ws-298.apexledger.example,A,10.3.89.141,300,1.1.1.1
db-shard-744.apexledger.example,A,10.1.245.180,86400,10.0.0.1
kafka-broker-984.apexledger.example,A,10.15.19.87,3600,1.1.1.1
api-gw-060.apexledger.example,A,10.15.155.167,86400,1.0.0.1
api-gw-156.apexledger.example,A,10.4.132.156,300,1.1.1.1
srv-db-549.apexledger.example,A,10.5.150.105,300,1.0.0.1
kafka-broker-365.apexledger.example,A,10.3.207.155,3600,1.0.0.1
cache-redis-900.apexledger.example,A,10.15.32.54,3600,1.1.1.1
stream-ws-138.apexledger.example,A,10.5.122.204,600,1.1.1.1
billing-srv-324.apexledger.example,A,10.2.37.104,600,10.0.0.1
vault-sec-464.apexledger.example,A,10.6.42.106,7200,10.0.0.1
vault-sec-131.apexledger.example,A,10.13.27.183,86400,1.1.1.1
internal-svc-152.apexledger.example,A,10.6.165.90,300,1.0.0.1
cache-redis-845.apexledger.example,A,10.12.196.132,600,10.0.0.1
auth-node-396.apexledger.example,A,10.7.119.174,3600,1.0.0.1
metrics-agent-939.apexledger.example,A,10.3.88.77,1800,1.1.1.1
srv-app-918.apexledger.example,A,10.15.238.114,3600,1.1.1.1
vault-sec-402.apexledger.example,A,10.6.180.119,86400,1.1.1.1
billing-srv-624.apexledger.example,A,10.15.99.143,1800,1.1.1.1
cache-redis-226.apexledger.example,A,10.10.150.10,600,10.0.0.1
db-shard-565.apexledger.example,A,10.10.13.185,1800,1.1.1.1
internal-svc-399.apexledger.example,A,10.5.177.107,300,1.0.0.1
cache-redis-308.apexledger.example,A,10.10.18.185,1800,10.0.0.1
srv-db-380.apexledger.example,A,10.9.148.174,7200,1.0.0.1
service-178.apexledger.example,A,10.0.41.37,3600,10.0.0.1
srv-db-078.apexledger.example,A,10.10.104.87,86400,10.0.0.1
auth-node-354.apexledger.example,A,10.4.85.151,3600,1.0.0.1
srv-app-884.apexledger.example,A,10.1.92.52,3600,1.1.1.1
srv-db-254.apexledger.example,A,10.11.76.62,300,10.0.0.1
metrics-agent-886.apexledger.example,A,10.1.170.184,600,1.0.0.1
api-gw-203.apexledger.example,A,10.7.244.72,600,1.0.0.1
auth-node-840.apexledger.example,A,10.1.80.160,300,1.1.1.1
db-shard-971.apexledger.example,A,10.1.238.244,1800,1.1.1.1
auth-node-689.apexledger.example,A,10.7.132.8,300,1.0.0.1
internal-svc-049.apexledger.example,A,10.12.207.198,300,10.0.0.1
billing-srv-114.apexledger.example,A,10.4.169.46,86400,1.0.0.1
db-shard-190.apexledger.example,A,10.13.84.254,86400,10.0.0.1
vault-sec-681.apexledger.example,A,10.8.115.52,300,10.0.0.1
internal-svc-652.apexledger.example,A,10.15.124.204,3600,10.0.0.1
api-gw-366.apexledger.example,A,10.0.55.65,600,1.0.0.1
worker-job-477.apexledger.example,A,10.13.104.130,3600,10.0.0.1
metrics-agent-970.apexledger.example,A,10.6.127.19,1800,1.1.1.1
api-gw-205.apexledger.example,A,10.0.117.239,3600,10.0.0.1
portal-web-345.apexledger.example,A,10.5.152.109,600,1.1.1.1
srv-node-295.apexledger.example,A,10.11.6.22,86400,1.0.0.1
vault-sec-868.apexledger.example,A,10.0.89.193,3600,1.1.1.1
portal-web-427.apexledger.example,A,10.2.80.16,86400,1.0.0.1
vault-sec-404.apexledger.example,A,10.12.12.184,86400,10.0.0.1
srv-app-357.apexledger.example,A,10.11.171.14,600,10.0.0.1
api-gw-007.apexledger.example,A,10.6.162.19,86400,1.0.0.1
auth-node-112.apexledger.example,A,10.13.191.125,300,1.0.0.1
worker-job-491.apexledger.example,A,10.7.194.23,1800,1.1.1.1
internal-svc-618.apexledger.example,A,10.13.186.27,1800,1.0.0.1
srv-node-125.apexledger.example,A,10.0.55.202,1800,1.0.0.1
api-gw-620.apexledger.example,A,10.2.238.76,86400,1.1.1.1
billing-srv-072.apexledger.example,A,10.8.22.188,86400,1.0.0.1
billing-srv-374.apexledger.example,A,10.7.230.14,3600,1.0.0.1
cache-redis-802.apexledger.example,A,10.3.238.169,300,1.1.1.1
kafka-broker-801.apexledger.example,A,10.13.4.175,86400,10.0.0.1
srv-app-181.apexledger.example,A,10.12.19.19,1800,1.1.1.1
srv-node-595.apexledger.example,A,10.1.101.11,600,10.0.0.1
service-357.apexledger.example,A,10.2.167.157,86400,10.0.0.1
worker-job-766.apexledger.example,A,10.6.145.58,600,10.0.0.1
srv-db-439.apexledger.example,A,10.3.216.157,600,1.0.0.1
srv-db-277.apexledger.example,A,10.12.35.30,600,10.0.0.1
service-535.apexledger.example,A,10.9.69.145,300,1.0.0.1
kafka-broker-168.apexledger.example,A,10.6.216.233,300,1.1.1.1
vault-sec-805.apexledger.example,A,10.3.81.201,300,1.1.1.1
worker-job-868.apexledger.example,A,10.13.130.216,600,1.1.1.1
auth-node-030.apexledger.example,A,10.7.134.40,600,10.0.0.1
billing-srv-553.apexledger.example,A,10.14.246.83,3600,10.0.0.1
metrics-agent-028.apexledger.example,A,10.8.244.185,300,1.1.1.1
db-shard-390.apexledger.example,A,10.9.43.146,600,10.0.0.1
internal-svc-384.apexledger.example,A,10.13.227.213,1800,1.0.0.1
srv-db-416.apexledger.example,A,10.2.80.12,600,10.0.0.1
metrics-agent-045.apexledger.example,A,10.14.217.159,1800,1.1.1.1
service-944.apexledger.example,A,10.11.50.238,1800,1.0.0.1
auth-node-076.apexledger.example,A,10.6.78.111,7200,10.0.0.1
srv-node-822.apexledger.example,A,10.3.247.90,1800,10.0.0.1
srv-db-146.apexledger.example,A,10.2.120.163,3600,1.0.0.1
vault-sec-151.apexledger.example,A,10.8.155.180,86400,1.0.0.1
stream-ws-966.apexledger.example,A,10.10.170.69,600,1.0.0.1
srv-app-876.apexledger.example,A,10.14.54.146,1800,1.1.1.1
billing-srv-684.apexledger.example,A,10.7.89.117,3600,1.1.1.1
srv-app-319.apexledger.example,A,10.14.187.209,600,10.0.0.1
auth-node-053.apexledger.example,A,10.10.71.58,7200,1.0.0.1
srv-node-408.apexledger.example,A,10.0.21.241,1800,10.0.0.1
portal-web-994.apexledger.example,A,10.5.5.146,7200,1.1.1.1
service-711.apexledger.example,A,10.6.40.115,86400,1.0.0.1
db-shard-755.apexledger.example,A,10.4.125.31,300,1.0.0.1
srv-node-184.apexledger.example,A,10.0.243.221,3600,1.1.1.1
kafka-broker-937.apexledger.example,A,10.8.200.136,3600,1.0.0.1
metrics-agent-759.apexledger.example,A,10.0.17.249,1800,10.0.0.1
db-shard-164.apexledger.example,A,10.8.3.33,300,1.0.0.1
billing-srv-118.apexledger.example,A,10.10.159.192,7200,1.1.1.1
cache-redis-246.apexledger.example,A,10.6.184.183,1800,1.0.0.1
cache-redis-556.apexledger.example,A,10.12.241.251,86400,10.0.0.1
srv-node-818.apexledger.example,A,10.11.107.22,600,1.0.0.1
stream-ws-531.apexledger.example,A,10.15.116.133,7200,1.0.0.1
metrics-agent-383.apexledger.example,A,10.4.199.184,3600,1.0.0.1
auth-node-389.apexledger.example,A,10.13.213.64,300,1.1.1.1
srv-app-183.apexledger.example,A,10.4.24.133,7200,10.0.0.1
srv-app-872.apexledger.example,A,10.4.202.90,86400,1.0.0.1
metrics-agent-600.apexledger.example,A,10.2.232.93,300,10.0.0.1
worker-job-415.apexledger.example,A,10.8.241.180,7200,1.1.1.1
service-186.apexledger.example,A,10.5.140.217,1800,1.1.1.1
api-gw-260.apexledger.example,A,10.9.27.254,7200,1.1.1.1
auth-node-991.apexledger.example,A,10.0.194.36,1800,10.0.0.1
srv-db-150.apexledger.example,A,10.11.215.127,1800,10.0.0.1
billing-srv-817.apexledger.example,A,10.2.129.190,1800,1.1.1.1
billing-srv-689.apexledger.example,A,10.3.64.94,7200,10.0.0.1
cache-redis-230.apexledger.example,A,10.1.128.178,86400,10.0.0.1
billing-srv-713.apexledger.example,A,10.2.180.211,300,1.0.0.1
service-975.apexledger.example,A,10.15.231.143,300,10.0.0.1
kafka-broker-009.apexledger.example,A,10.5.2.50,300,1.1.1.1
billing-srv-220.apexledger.example,A,10.11.23.157,300,1.0.0.1
vault-sec-292.apexledger.example,A,10.7.79.14,3600,1.1.1.1
db-shard-211.apexledger.example,A,10.10.244.219,86400,10.0.0.1
service-467.apexledger.example,A,10.13.235.179,86400,10.0.0.1
vault-sec-992.apexledger.example,A,10.13.237.99,3600,1.1.1.1
vault-sec-268.apexledger.example,A,10.2.129.55,600,10.0.0.1
kafka-broker-145.apexledger.example,A,10.1.83.113,1800,10.0.0.1
portal-web-348.apexledger.example,A,10.4.163.230,7200,1.1.1.1
srv-app-866.apexledger.example,A,10.8.149.131,300,1.1.1.1
service-201.apexledger.example,A,10.8.0.169,7200,1.0.0.1
kafka-broker-268.apexledger.example,A,10.1.114.154,3600,1.1.1.1
db-shard-207.apexledger.example,A,10.9.30.250,1800,10.0.0.1
srv-app-592.apexledger.example,A,10.14.3.234,600,10.0.0.1
api-gw-082.apexledger.example,A,10.11.215.228,7200,10.0.0.1
cache-redis-106.apexledger.example,A,10.12.60.130,3600,10.0.0.1
stream-ws-390.apexledger.example,A,10.5.142.99,1800,1.0.0.1
cache-redis-792.apexledger.example,A,10.14.102.236,1800,1.1.1.1
billing-srv-572.apexledger.example,A,10.13.9.180,300,1.1.1.1
cache-redis-480.apexledger.example,A,10.3.255.30,7200,1.0.0.1
service-108.apexledger.example,A,10.13.217.109,300,1.0.0.1
metrics-agent-313.apexledger.example,A,10.5.132.157,300,1.1.1.1
vault-sec-551.apexledger.example,A,10.1.63.28,86400,10.0.0.1
service-745.apexledger.example,A,10.6.129.95,86400,1.1.1.1
service-770.apexledger.example,A,10.15.128.105,1800,10.0.0.1
srv-db-808.apexledger.example,A,10.3.140.59,600,1.0.0.1
vault-sec-923.apexledger.example,A,10.1.89.54,300,1.1.1.1
internal-svc-177.apexledger.example,A,10.0.255.206,7200,1.1.1.1
vault-sec-544.apexledger.example,A,10.3.214.45,3600,10.0.0.1
api-gw-896.apexledger.example,A,10.9.228.91,300,10.0.0.1
vault-sec-941.apexledger.example,A,10.1.175.147,600,1.0.0.1
portal-web-828.apexledger.example,A,10.6.101.6,1800,1.1.1.1
db-shard-447.apexledger.example,A,10.12.120.174,1800,1.1.1.1
cache-redis-225.apexledger.example,A,10.12.84.29,3600,1.1.1.1
internal-svc-867.apexledger.example,A,10.13.115.125,3600,1.0.0.1
internal-svc-545.apexledger.example,A,10.11.158.84,86400,10.0.0.1
srv-app-755.apexledger.example,A,10.10.191.210,3600,1.1.1.1
kafka-broker-214.apexledger.example,A,10.4.172.21,3600,1.1.1.1
srv-node-393.apexledger.example,A,10.8.55.254,86400,1.0.0.1
billing-srv-364.apexledger.example,A,10.11.230.147,300,1.1.1.1
worker-job-816.apexledger.example,A,10.12.142.190,3600,10.0.0.1
internal-svc-669.apexledger.example,A,10.14.154.162,7200,1.1.1.1
srv-app-199.apexledger.example,A,10.14.78.201,600,1.1.1.1
srv-db-595.apexledger.example,A,10.7.133.102,300,1.0.0.1
auth-node-773.apexledger.example,A,10.8.78.167,7200,1.1.1.1
vault-sec-281.apexledger.example,A,10.2.22.244,7200,1.1.1.1
srv-app-320.apexledger.example,A,10.5.9.245,300,1.1.1.1
metrics-agent-241.apexledger.example,A,10.1.152.183,3600,1.0.0.1
auth-node-041.apexledger.example,A,10.11.209.1,300,1.0.0.1
auth-node-812.apexledger.example,A,10.2.65.125,7200,10.0.0.1
auth-node-360.apexledger.example,A,10.12.156.93,7200,10.0.0.1
kafka-broker-823.apexledger.example,A,10.6.8.43,7200,1.1.1.1
api-gw-780.apexledger.example,A,10.14.16.85,300,10.0.0.1
internal-svc-324.apexledger.example,A,10.13.108.56,7200,10.0.0.1
vault-sec-205.apexledger.example,A,10.9.35.142,600,1.1.1.1
service-414.apexledger.example,A,10.10.233.82,7200,1.1.1.1
worker-job-726.apexledger.example,A,10.10.220.196,3600,10.0.0.1
cache-redis-074.apexledger.example,A,10.11.62.102,86400,1.1.1.1
stream-ws-092.apexledger.example,A,10.15.198.88,600,1.1.1.1
db-shard-282.apexledger.example,A,10.6.164.112,7200,1.1.1.1
kafka-broker-832.apexledger.example,A,10.8.200.153,86400,1.1.1.1
service-061.apexledger.example,A,10.11.80.107,86400,10.0.0.1
vault-sec-747.apexledger.example,A,10.3.232.245,600,10.0.0.1
internal-svc-219.apexledger.example,A,10.5.33.146,86400,1.0.0.1
db-shard-828.apexledger.example,A,10.11.228.139,86400,1.0.0.1
portal-web-919.apexledger.example,A,10.13.57.47,1800,1.1.1.1
stream-ws-228.apexledger.example,A,10.10.139.43,600,1.1.1.1
db-shard-187.apexledger.example,A,10.2.229.13,300,1.0.0.1
srv-app-432.apexledger.example,A,10.5.209.197,3600,10.0.0.1
internal-svc-625.apexledger.example,A,10.11.8.209,600,10.0.0.1
metrics-agent-425.apexledger.example,A,10.6.3.190,1800,10.0.0.1
srv-app-723.apexledger.example,A,10.2.249.15,86400,10.0.0.1
auth-node-746.apexledger.example,A,10.2.97.192,1800,10.0.0.1
vault-sec-194.apexledger.example,A,10.10.10.76,600,1.0.0.1
cache-redis-714.apexledger.example,A,10.15.253.150,86400,10.0.0.1
srv-node-779.apexledger.example,A,10.6.13.131,3600,1.1.1.1
cache-redis-944.apexledger.example,A,10.10.157.251,3600,1.1.1.1
stream-ws-577.apexledger.example,A,10.10.131.8,300,10.0.0.1
service-509.apexledger.example,A,10.4.87.240,300,10.0.0.1
internal-svc-226.apexledger.example,A,10.10.125.143,86400,1.1.1.1
srv-app-212.apexledger.example,A,10.6.72.44,3600,1.0.0.1
api-gw-612.apexledger.example,A,10.7.174.97,1800,1.1.1.1
service-456.apexledger.example,A,10.2.97.3,300,1.0.0.1
srv-app-595.apexledger.example,A,10.13.9.45,600,1.1.1.1
metrics-agent-743.apexledger.example,A,10.13.108.157,600,1.1.1.1
api-gw-694.apexledger.example,A,10.14.8.162,600,1.1.1.1
service-869.apexledger.example,A,10.0.104.191,3600,1.0.0.1
srv-node-425.apexledger.example,A,10.15.60.193,3600,1.1.1.1
stream-ws-883.apexledger.example,A,10.5.240.81,86400,1.0.0.1
service-469.apexledger.example,A,10.5.56.22,1800,1.0.0.1
srv-node-439.apexledger.example,A,10.5.195.112,7200,10.0.0.1
stream-ws-109.apexledger.example,A,10.4.184.40,600,1.1.1.1
srv-app-094.apexledger.example,A,10.1.124.222,3600,1.1.1.1
internal-svc-222.apexledger.example,A,10.6.185.38,3600,1.1.1.1
service-155.apexledger.example,A,10.11.230.135,1800,1.1.1.1
srv-db-705.apexledger.example,A,10.11.203.31,1800,1.1.1.1
srv-app-667.apexledger.example,A,10.3.127.163,3600,1.1.1.1
cache-redis-290.apexledger.example,A,10.7.175.211,86400,1.1.1.1
api-gw-218.apexledger.example,A,10.4.82.228,300,10.0.0.1
metrics-agent-747.apexledger.example,A,10.15.112.40,600,10.0.0.1
srv-app-448.apexledger.example,A,10.15.166.83,1800,1.1.1.1
vault-sec-665.apexledger.example,A,10.15.111.209,1800,10.0.0.1
stream-ws-518.apexledger.example,A,10.15.174.77,3600,10.0.0.1
db-shard-245.apexledger.example,A,10.12.227.92,1800,1.0.0.1
api-gw-092.apexledger.example,A,10.0.68.191,600,1.1.1.1
service-853.apexledger.example,A,10.8.254.158,600,10.0.0.1
vault-sec-758.apexledger.example,A,10.14.101.227,86400,1.0.0.1
metrics-agent-816.apexledger.example,A,10.11.202.11,7200,1.0.0.1
srv-node-626.apexledger.example,A,10.1.201.239,7200,10.0.0.1
billing-srv-206.apexledger.example,A,10.3.28.102,7200,1.0.0.1
srv-db-795.apexledger.example,A,10.2.43.54,300,1.0.0.1
srv-node-881.apexledger.example,A,10.10.31.215,1800,1.0.0.1
internal-svc-786.apexledger.example,A,10.14.214.192,7200,1.1.1.1
cache-redis-567.apexledger.example,A,10.3.210.25,7200,1.1.1.1
worker-job-155.apexledger.example,A,10.12.111.166,86400,1.1.1.1
kafka-broker-350.apexledger.example,A,10.6.86.221,600,1.0.0.1
vault-sec-895.apexledger.example,A,10.9.123.215,86400,1.0.0.1
worker-job-759.apexledger.example,A,10.7.181.244,7200,1.0.0.1
stream-ws-616.apexledger.example,A,10.10.69.109,3600,10.0.0.1
stream-ws-860.apexledger.example,A,10.11.60.248,3600,1.0.0.1
billing-srv-768.apexledger.example,A,10.4.92.96,1800,10.0.0.1
stream-ws-119.apexledger.example,A,10.3.33.79,86400,1.1.1.1
stream-ws-403.apexledger.example,A,10.15.114.97,1800,1.1.1.1
cache-redis-256.apexledger.example,A,10.4.218.181,600,10.0.0.1
db-shard-444.apexledger.example,A,10.0.24.57,86400,1.0.0.1
vault-sec-090.apexledger.example,A,10.2.70.93,86400,1.0.0.1
api-gw-893.apexledger.example,A,10.7.103.147,7200,1.0.0.1
kafka-broker-102.apexledger.example,A,10.7.17.54,86400,1.1.1.1
srv-app-742.apexledger.example,A,10.1.156.105,7200,10.0.0.1
vault-sec-090.apexledger.example,A,10.2.93.212,600,1.1.1.1
db-shard-956.apexledger.example,A,10.12.53.115,86400,1.1.1.1
kafka-broker-782.apexledger.example,A,10.10.226.3,86400,10.0.0.1
vault-sec-926.apexledger.example,A,10.11.104.174,7200,1.0.0.1
metrics-agent-662.apexledger.example,A,10.8.121.216,300,1.1.1.1
kafka-broker-159.apexledger.example,A,10.10.68.165,600,10.0.0.1
auth-node-202.apexledger.example,A,10.3.104.204,86400,1.0.0.1
srv-node-079.apexledger.example,A,10.6.235.237,600,10.0.0.1
portal-web-077.apexledger.example,A,10.15.163.242,1800,10.0.0.1
srv-node-599.apexledger.example,A,10.2.11.151,600,1.0.0.1
srv-db-231.apexledger.example,A,10.5.60.166,600,10.0.0.1
billing-srv-915.apexledger.example,A,10.8.116.205,3600,1.1.1.1
worker-job-053.apexledger.example,A,10.1.48.234,7200,1.1.1.1
billing-srv-657.apexledger.example,A,10.13.68.195,3600,10.0.0.1
stream-ws-951.apexledger.example,A,10.6.233.137,1800,1.0.0.1
vault-sec-435.apexledger.example,A,10.12.187.143,3600,1.0.0.1
stream-ws-890.apexledger.example,A,10.5.189.99,3600,1.0.0.1
billing-srv-742.apexledger.example,A,10.12.16.234,86400,1.1.1.1
kafka-broker-287.apexledger.example,A,10.11.14.194,3600,1.0.0.1
service-737.apexledger.example,A,10.4.159.53,7200,10.0.0.1
portal-web-515.apexledger.example,A,10.10.43.115,3600,10.0.0.1
portal-web-951.apexledger.example,A,10.15.20.220,7200,10.0.0.1
service-877.apexledger.example,A,10.15.31.195,300,10.0.0.1
metrics-agent-891.apexledger.example,A,10.15.142.236,600,1.1.1.1
portal-web-966.apexledger.example,A,10.1.60.159,600,1.1.1.1
auth-node-140.apexledger.example,A,10.10.107.172,7200,1.1.1.1
auth-node-166.apexledger.example,A,10.0.227.89,1800,1.0.0.1
cache-redis-996.apexledger.example,A,10.0.135.191,3600,10.0.0.1
internal-svc-750.apexledger.example,A,10.1.114.243,3600,10.0.0.1
stream-ws-785.apexledger.example,A,10.8.88.157,3600,1.0.0.1
metrics-agent-466.apexledger.example,A,10.9.115.38,86400,1.0.0.1
cache-redis-605.apexledger.example,A,10.13.248.247,3600,1.0.0.1
srv-db-272.apexledger.example,A,10.9.209.149,3600,1.1.1.1
api-gw-734.apexledger.example,A,10.11.129.121,600,1.0.0.1
kafka-broker-631.apexledger.example,A,10.1.204.82,300,1.1.1.1
metrics-agent-376.apexledger.example,A,10.4.23.24,600,1.0.0.1
api-gw-420.apexledger.example,A,10.4.190.169,7200,1.0.0.1
service-665.apexledger.example,A,10.0.169.124,1800,1.1.1.1
portal-web-298.apexledger.example,A,10.4.132.202,3600,1.1.1.1
kafka-broker-184.apexledger.example,A,10.12.75.89,86400,1.1.1.1
metrics-agent-127.apexledger.example,A,10.0.23.95,600,1.0.0.1
metrics-agent-141.apexledger.example,A,10.9.224.229,7200,1.0.0.1
cache-redis-228.apexledger.example,A,10.2.210.151,600,10.0.0.1
stream-ws-065.apexledger.example,A,10.9.91.210,1800,10.0.0.1
cache-redis-604.apexledger.example,A,10.2.135.65,300,10.0.0.1
kafka-broker-077.apexledger.example,A,10.5.234.140,600,1.1.1.1
kafka-broker-579.apexledger.example,A,10.11.176.224,7200,1.0.0.1
srv-node-197.apexledger.example,A,10.14.139.103,3600,1.1.1.1
api-gw-886.apexledger.example,A,10.3.246.44,3600,1.1.1.1
portal-web-687.apexledger.example,A,10.14.165.33,1800,1.0.0.1
db-shard-452.apexledger.example,A,10.11.99.248,600,1.0.0.1
portal-web-753.apexledger.example,A,10.14.9.18,1800,1.0.0.1
vault-sec-417.apexledger.example,A,10.15.16.9,86400,10.0.0.1
cache-redis-581.apexledger.example,A,10.11.59.116,86400,1.0.0.1
kafka-broker-146.apexledger.example,A,10.13.160.183,86400,10.0.0.1
worker-job-869.apexledger.example,A,10.7.240.183,600,1.1.1.1
api-gw-126.apexledger.example,A,10.15.119.192,3600,1.0.0.1
metrics-agent-202.apexledger.example,A,10.12.133.111,300,1.1.1.1
kafka-broker-551.apexledger.example,A,10.4.56.60,600,1.1.1.1
portal-web-194.apexledger.example,A,10.12.20.7,86400,10.0.0.1
srv-db-924.apexledger.example,A,10.12.43.203,7200,1.0.0.1
stream-ws-346.apexledger.example,A,10.11.163.27,300,10.0.0.1
srv-app-843.apexledger.example,A,10.6.109.78,600,10.0.0.1
stream-ws-572.apexledger.example,A,10.0.244.23,7200,1.1.1.1
srv-db-984.apexledger.example,A,10.9.27.232,7200,1.1.1.1
cache-redis-965.apexledger.example,A,10.12.47.124,1800,1.1.1.1
vault-sec-768.apexledger.example,A,10.9.250.208,1800,1.1.1.1
stream-ws-126.apexledger.example,A,10.6.245.134,7200,1.0.0.1
internal-svc-929.apexledger.example,A,10.9.64.68,600,1.0.0.1
auth-node-832.apexledger.example,A,10.8.146.123,3600,1.1.1.1
auth-node-894.apexledger.example,A,10.1.96.39,600,1.0.0.1
worker-job-308.apexledger.example,A,10.10.235.115,86400,1.0.0.1
api-gw-293.apexledger.example,A,10.13.88.218,600,1.1.1.1
billing-srv-362.apexledger.example,A,10.10.4.98,1800,10.0.0.1
worker-job-204.apexledger.example,A,10.3.131.44,7200,1.1.1.1
srv-node-977.apexledger.example,A,10.7.153.115,7200,1.0.0.1
portal-web-063.apexledger.example,A,10.1.252.52,86400,1.1.1.1
kafka-broker-324.apexledger.example,A,10.4.255.154,86400,1.0.0.1
db-shard-525.apexledger.example,A,10.2.214.11,1800,10.0.0.1
srv-node-892.apexledger.example,A,10.14.51.15,600,1.0.0.1
vault-sec-791.apexledger.example,A,10.11.42.233,3600,1.1.1.1
srv-db-172.apexledger.example,A,10.14.9.146,600,10.0.0.1
db-shard-154.apexledger.example,A,10.15.164.68,86400,10.0.0.1
portal-web-078.apexledger.example,A,10.9.21.44,86400,1.1.1.1
srv-db-906.apexledger.example,A,10.2.151.175,1800,10.0.0.1
vault-sec-152.apexledger.example,A,10.8.91.181,86400,10.0.0.1
api-gw-093.apexledger.example,A,10.11.98.145,600,1.0.0.1
srv-db-951.apexledger.example,A,10.10.199.32,600,1.1.1.1
kafka-broker-016.apexledger.example,A,10.2.94.68,1800,10.0.0.1
srv-db-484.apexledger.example,A,10.9.74.14,7200,1.0.0.1
srv-db-962.apexledger.example,A,10.13.118.172,1800,10.0.0.1
